"","PFD-B_SF1","PFD-FR_SF1","PFD-G_SF1","PFD-R_SF1","PFD-UV_SF1"
"PICGLA.15",109.456772,108.354538,134.383682,135.865692,10.462662
"PICGLA.16",125.99662,128.672623,155.397049,156.861511,12.014128
"PICGLA.17",30.431673,34.459724,37.804684,38.494625,2.940048
"PINCON.24",66.718864,68.280769,82.031418,81.818588,6.380587
"PINCON.25",82.811577,81.207642,101.218079,101.363304,7.939277
"PINCON.26",57.929859,60.282703,71.280197,71.337479,5.54654
"PINCON.48",153.281433,152.514954,189.161285,190.812042,14.58341
"PINCON.49",151.456848,149.86673,187.430603,188.930145,14.36595
"PINCON.50",163.323776,159.981155,202.510193,203.923599,15.432327
"PINCON.66",57.872002,67.49485,73.093102,71.873108,5.533706
"PINCON.67",117.419273,112.889526,143.678009,143.209229,11.252703
"PINCON.68",124.310844,116.957382,151.560959,151.306946,11.887609
"PINCON.69",134.258224,123.967705,163.111603,162.746643,12.879485
"PINCON.70",53.929691,53.430054,66.185593,66.255249,5.144639
"PINCON.71",50.679386,51.137985,62.130371,62.091351,4.847742
"PINCON.72",1.27590600000001,3.490219,1.82690599999999,2.132267,0.118903
"PINCON.73",167.187424,182.874146,212.950134,215.136978,15.1437
"PINCON.74",123.54615,140.131653,156.323593,158.313629,11.473772
"PINCON.75",225.064438,214.074127,277.7789,281.106964,21.208292
"TWOSTO",14.341468,14.213161,17.320438,17.106018,1.392613
"TWOSTO.1",10.046109,10.529813,12.160711,11.951125,0.978541
"TWOSTO.10",125.004021,122.314468,153.95993,152.402756,11.920458
"TWOSTO.105",80.330551,79.216003,98.037079,98.191566,7.727548
"TWOSTO.106",92.542084,94.184456,113.793297,113.040031,8.893497
"TWOSTO.107",103.561234,102.013237,126.629425,126.099228,9.963041
"TWOSTO.11",99.312111,105.406883,123.947227,123.772308,9.37299
"TWOSTO.111",49.216595,49.610069,60.151566,60.187748,4.722953
"TWOSTO.112",27.941519,31.596338,34.583755,34.343239,2.680747
"TWOSTO.113",16.324291,19.95726,20.475494,20.446598,1.557231
"TWOSTO.117",70.99202,71.699745,87.133911,86.996841,6.793588
"TWOSTO.118",78.89875,77.956123,96.589615,96.130127,7.562213
"TWOSTO.119",61.798279,62.529625,75.658676,75.752052,5.919841
"TWOSTO.120",30.571913,33.298653,37.734589,37.626884,2.938752
"TWOSTO.121",38.603962,43.462395,47.667107,47.316063,3.720621
"TWOSTO.122",48.235867,51.288853,59.150276,59.071117,4.643307
"TWOSTO.123",206.896912,225.053925,265.309387,271.97113,18.930748
"TWOSTO.124",95.449554,106.995041,121.152176,124.420723,8.867636
"TWOSTO.125",90.173149,99.300545,112.554703,113.137947,8.590955
"TWOSTO.2",16.33861,16.02301,19.677876,19.426258,1.588078
"TWOSTO.39",70.738197,78.950981,87.873611,87.637894,6.723488
"TWOSTO.40",176.022675,164.781616,215.470917,215.259506,16.8074
"TWOSTO.41",162.887741,159.061859,201.53418,203.057739,15.447412
"TWOSTO.78",175.01973,168.868149,216.404755,219.132965,16.529303
"TWOSTO.79",107.790543,109.215668,133.119553,134.86293,10.235632
"TWOSTO.80",128.189957,123.804482,157.867294,158.733719,12.109178
"TWOSTO.84",136.093338,129.025681,166.89888,168.238297,12.957341
"TWOSTO.85",158.479187,156.4039,196.927582,198.789673,14.890683
"TWOSTO.86",122.392479,122.340225,151.731812,152.056046,11.540737
"TWOSTO.9",12.18772,12.815346,14.817373,14.625991,1.183021
"TWOSTO.93",19.446354,28.941473,24.899809,24.580177,1.849088
"TWOSTO.94",80.992188,84.691055,100.126846,100.131104,7.73848
"TWOSTO.95",104.126823,101.084763,127.081741,127.754982,10.012496
"TWOSTO.96",88.089317,86.602654,107.57235,108.306808,8.480144
"TWOSTO.97",101.820686,97.218834,123.744148,123.563644,9.837401
"TWOSTO.98",89.307747,86.426033,108.693184,109.500702,8.612654
