"","PFD-B_MF1","PFD-FR_MF1","PFD-G_MF1","PFD-R_MF1","PFD-UV_MF1"
"LONSOF.42",4.538132,4.97899,5.537107,5.486042,0.440338
"LONSOF.43",4.682609,5.31536,5.728559,5.664591,0.454733
"LONSOF.44",2.595789,3.467016,3.263562,3.22918,0.248981
"LONSOF.48",6.428534,6.887756,7.801183,7.685464,0.623417
"LONSOF.49",10.242567,10.120483,12.338654,12.180919,0.994931
"LONSOF.50",11.036482,10.66402,13.258627,13.089744,1.073658
"LONSOF.57",4.38049,4.970648,5.383646,5.321936,0.422153
"LONSOF.58",3.18715,4.087083,3.965594,3.882916,0.308269
"LONSOF.59",3.330469,4.265992,4.14877,4.050826,0.321957
"LONSOF.66",35.96484,36.98938,44.223042,44.698093,3.434801
"LONSOF.67",8.331956,9.124119,10.036401,10.003643,0.823576
"LONSOF.68",9.505978,10.065391,11.427596,11.449897,0.938251
"LONSOF.69",5.231184,5.770509,6.347388,6.26409,0.512786
"LONSOF.70",7.870332,8.691067,9.630288,9.568115,0.764497
"LONSOF.71",9.05422,9.528266,11.0558,11.033838,0.875203
"LONSOF.78",7.60856,8.626459,9.294394,9.190249,0.73946
"LONSOF.79",5.531242,6.24296,6.741954,6.724857,0.541521
"LONSOF.80",6.475377,7.196376,7.904193,7.874719,0.630499
"LONSOF.93",9.865054,10.504618,12.109521,12.173867,0.947706
"LONSOF.94",4.828338,6.215572,6.03564,6.032204,0.464045
"LONSOF.95",4.514766,6.243208,5.689474,5.695396,0.433016
"LONSOF.96",6.068294,7.668158,7.573895,7.538462,0.582854
"LONSOF.97",8.233895,9.145432,10.144336,10.14287,0.791326
"LONSOF.98",8.332656,9.580038,10.287394,10.237425,0.800627
"PICGLA",10.798975,11.535725,13.213937,13.248309,1.039191
"PICGLA.1",5.84924,8.163966,7.465649,7.479779,0.546031
"PICGLA.2",7.908097,10.104585,9.814994,9.598495,0.755599
"PICGLA.24",3.881745,6.060748,4.94594,4.834657,0.369106
"PICGLA.25",5.386425,5.725934,6.528603,6.443311,0.525134
"PICGLA.26",5.369842,5.620397,6.503413,6.4271,0.523043
"PICGLA.33",3.378414,4.161285,4.189766,4.134039,0.326494
"PICGLA.34",8.639539,9.122766,10.435161,10.281039,0.840946
"PICGLA.35",4.211875,5.106853,5.183226,5.098999,0.40798
"PICGLA.43",1.834807,2.847373,2.354127,2.301464,0.1765
"PICGLA.44",2.949759,3.502005,3.624066,3.566452,0.287317
"PICGLA.45",2.320881,2.915527,2.883439,2.845502,0.225512
"PICGLA.49",1.834421,2.381336,2.297213,2.278932,0.177656
"PICGLA.50",4.485857,5.067367,5.440244,5.332138,0.440886
"PICGLA.51",4.834117,5.261023,5.853074,5.773264,0.474433
"PICGLA.64",5.480173,6.761096,6.796917,6.749232,0.527532
"PICGLA.65",2.799024,4.080215,3.549139,3.50438,0.269153
"PICGLA.66",6.46678,7.750077,7.976624,7.862907,0.625843
"PICGLA.79",10.597164,11.185094,12.865301,12.901381,1.031628
"PICGLA.80",7.007056,8.336139,8.702605,8.728715,0.67404
"PICGLA.81",9.299649,10.485304,11.434256,11.468156,0.901462
"PICGLA.91",9.814472,10.599347,12.048186,12.120425,0.948616
"PICGLA.92",4.737484,6.057128,5.856699,5.844452,0.462729
"PICGLA.93",17.684315,17.334158,21.387688,21.345064,1.714704
"TSUHET.30",7.129548,7.800539,8.763137,8.753743,0.68834
"TSUHET.31",6.056249,7.132032,7.547317,7.54187,0.578624
"TSUHET.32",4.991019,6.053094,6.216067,6.20074,0.479196
"TSUHET.6",34.679741,35.937714,42.703701,43.383171,3.309886
"TSUHET.7",44.96962,45.848328,55.567928,56.365871,4.269305
"TSUHET.8",44.121494,44.697758,54.204334,54.937565,4.210935
