"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",93.3515015957539,0.80980736745584,115.276182148151,8.50356558906248e-283
"siteMF1",1.37687556692599,0.376761530535658,3.65450146932048,0.000296691381643479
"sitePL1",1.00100954592616,0.384804002060395,2.60134910387199,0.00967539224646391
"siteSF1",1.43047848750647,0.549606975275098,2.60272986308165,0.00963725921188287
"siteSG1",-1.26629392908715,0.266312002695344,-4.75492623791263,2.89354821660643e-06
"siteSG2",0.31521279657414,0.30276566752874,1.04111142834324,0.298534345980214
"specieslatbiLONSOF",4.60112122577563,0.818877890099373,5.61881237899495,3.89842964095037e-08
"specieslatbiPICGLA",4.52668914276896,0.860046647197007,5.26330653985104,2.45817273920824e-07
"specieslatbiPINCON",4.70085243685921,0.89461504981596,5.25460916158996,2.56837914860051e-07
"specieslatbiTHUPLI",4.18058937087669,0.799697207797382,5.22771535290382,2.9403342747066e-07
"specieslatbiTSUHET",3.73947822837039,0.783062761902695,4.77545148397067,2.62961867387916e-06
"specieslatbiTWOSTO",4.67414111118417,0.953682324457097,4.90115103459113,1.45335026593107e-06
