"","PFD-FR","PFD-R"
"THUPLI",-329.940664,-408.502801
"THUPLI.1",-329.1149,-409.36694
"THUPLI.2",-317.656163,-392.322182
"THUPLI.3",-348.560674,-427.166542
"THUPLI.4",-348.650681,-427.135358
"THUPLI.5",-349.292123,-427.679645
"TSUHET",-333.339555,-419.742123
"TSUHET.1",-335.681479,-421.051434
"TSUHET.2",-335.680129,-421.323939
"TSUHET.3",-352.875656,-443.855474
"TSUHET.4",-352.643818,-443.607161
"TSUHET.5",-353.876882,-444.103851
"ALNRUB",-269.614512,-330.671462
"ALNRUB.1",-277.602706,-337.353846
"ALNRUB.2",-274.337756,-336.129164
"ACECIR",-277.012264,-345.819954
"ACECIR.1",-276.984005,-345.749262
"ACECIR.2",-277.140064,-345.831142
"TSUHET.6",-309.194328,-388.06472
"TSUHET.7",-294.574113,-368.323982
"TSUHET.8",-318.033088,-399.088063
"ALNRUB.3",-314.671857,-379.546787
"ALNRUB.4",-316.132284,-380.632495
"ALNRUB.5",-316.713112,-380.307395
"ACECIR.3",-178.423854,-226.622272
"ACECIR.4",-176.969415,-226.144058
"ACECIR.5",-175.66234,-224.529492
"TSUHET.9",-273.810954,-334.50106
"TSUHET.10",-273.97704,-334.777797
"TSUHET.11",-273.564044,-334.890712
"TSUHET.12",-117.737628,-159.972378
"TSUHET.13",-117.822604,-160.122691
"TSUHET.14",-116.973443,-159.298256
"ACECIR.6",-126.304582,-172.542024
"ACECIR.7",-124.688184,-170.301323
"ACECIR.8",-124.482963,-170.66571
"TSUHET.15",6.376252,3.886631
"TSUHET.16",4.859849,3.616887
"TSUHET.17",2.640036,1.86558
"THUPLI.6",-259.037883,-321.48967
"THUPLI.7",-257.648685,-320.883347
"THUPLI.8",-257.258137,-318.96055
